Estate Code,Total Estate Rateable Value,Estate Name
EA001,31880,ALBERT CARR GARDENS ESTATE
EA002,23354,ANGELL PARK GARDENS ESTATE
EA003,101351,ANGELL TOWN ESTATE
EA004,34423,ARLINGTON LODGE ESTATE
EA006,28490,BECONDALE ESTATE
EA007,40014,BENTONS LANE ESTATE
EA008,43439,BERRIDGE ROAD ESTATE
EA009,22063,BLACK PRINCE ROAD ESTATE
EA010,88689,BLENHEIM GARDENS ESTATE
EA011,28148,BLOOMFIELD ESTATE
EA012,26308,BONHAM ESTATE
EA013,27686,BONNEVILLE/DEAUVILLE ESTA
EA014,10346,BOSCOMBE GARDENS ESTATE
EA015,65983,BOWLANDS ROAD ESTATE
EA016,30695,BRIANT ESTATE
EA017,20993,BRIGHTON TERRACE ESTATE
EA018,19089,BROCKWELL PARK ESTATE
EA019,42637,CALDWELL GARDENS ESTATE
EA020,69612,CANTERBURY GARDENS ESTATE
EA021,29481,CARFAX ESTATE
EA022,101266,CEDARS ESTATE
EA023,104731,CENTRAL HILL ESTATE
EA024,21738,CHARTERS CLOSE ESTATE
EA025,13181,CHESHIRE ESTATE
EA026,123318,CHINA WALK ESTATE
EA027,67122,CLAPHAM MANOR ESTATE
EA029,45690,CLAPHAM ROAD ESTATE
EA030,27607,CLAREMONT ESTATE EAST
EA031,27823,CLAREMONT ESTATE WEST
EA032,50723,CLARENCE AVENUE ESTATE
EA033,25915,CLIVE ROAD ESTATE
EA034,63808,COTTINGTON CLOSE ESTATE
EA035,72733,COTTON GARDENS ESTATE
EA036,140430,COWLEY ESTATE
EA037,73964,CRESSINGHAM GARDENS ESTATE
EA038,42585,DERONDA ESTATE
EA039,52299,DUMBARTON COURT ESTATE
EA040,29981,DUNBAR DUNELM ESTATE
EA041,32203,EDMUNDSBURY COURT ESTATE
EA043,76586,ETHELRED TOWERS ESTATE
EA044,99884,FENWICK ESTATE
EA045,53045,FERN LODGE ESTATE
EA046,2783,FOXLEY ROAD ESTATE
EA047,44452,GASKELL STREET ESTATE
EA048,21464,GAUDEN ESTATE
EA049,306,GRANTHAM ROAD ESTATE
EA050,41712,HAINTHORPE ESTATE
EA051,88017,HEATH ROAD ESTATE
EA052,51304,HEMANS ESTATE
EA053,44031,HERTFORD ESTATE
EA054,16782,HILLSIDE GARDENS ESTATE
EA055,45666,HOLDERNESS ESTATE
EA056,54744,HOLLAND TOWN ESTATE
EA057,29614,HOLLAND WHITEBEAM ESTATE
EA058,13930,HOPE PARK ESTATE
EA059,35516,HURST STREET ESTATE
EA060,21448,HYPERION HOUSE ESTATE
EA061,13116,JAMES HAYWARD ESTATE
EA062,34786,KENNINGS ESTATE
EA065,26841,LAIRDALE ESTATE
EA066,8492,LAMBETH TOWERS ESTATE
EA067,12167,LANERCOST CLOSE ESTATE
EA068,78970,LARKHALL ESTATE
EA069,174768,LEIGHAM COURT ESTATE
EA070,49185,LILFORD ESTATE
EA071,35056,LINTON GROVE ESTATE
EA072,22523,LOTHIAN ESTATE
EA073,303776,LOUGHBOROUGH ESTATE
EA074,20905,MACAULAY ESTATE
EA076,89942,MAWBEY BROUGH ESTATE
EA077,14978,MEATH ESTATE
EA078,21674,MINET ESTATE
EA079,112685,MURSELL ESTATE
EA080,46753,MYATTS FIELD NORTH ESTATE
EA081,91987,MYATTS FIELD SOUTH ESTATE
EA082,40613,NELSONS ROW ESTATE
EA083,99153,NOTRE DAME ESTATE
EA084,94665,OAKLANDS ESTATE
EA085,90654,PALACE ROAD ESTATE
EA086,27428,PAULET ROAD ESTATE
EA087,61357,PENWITH MANOR ESTATE
EA088,65578,PORTOBELLO ESTATE
EA089,64738,POYNDERS GARDENS ESTATE
EA090,23445,RAILTON ROAD ESTATE
EA091,13949,RENTON CLOSE ESTATE
EA093,56238,ROSENDALE GARDENS ESTATE
EA094,137437,ROUPELL PARK ESTATE
EA095,5167,RUSHCROFT ROAD ESTATE
EA096,16682,RUSPER COURT ESTATE
EA097,15122,RYAN COURT ESTATE
EA098,47969,SACKVILLE ESTATE
EA099,17001,SAXBY ROAD ESTATE
EA100,19028,SINCLAIR ESTATE
EA101,41035,SOLON ESTATE
EA102,53372,SOUTH LAMBETH ESTATE
EA103,52320,SOUTHWYCK HOUSE ESTATE
EA104,205353,SPRINGFIELD ESTATE
EA105,87117,SPURGEON ESTATE
EA106,8188,ST ALPHONSUS ESTATE
EA107,8573,ST LOUIS ESTATE
EA108,98886,ST MATTHEWS ESTATE
EA110,60320,STREATHAM HILL ESTATE
EA111,81033,TANSWELL ESTATE
EA112,13299,TELFORD AVENUE ESTATE
EA114,26734,THORNTON GARDENS ESTATE
EA115,225515,TULSE HILL ESTATE
EA116,64860,VALLEY ROAD ESTATE
EA117,304866,VAUXHALL GARDENS ESTATE
EA118,15877,VICTORIA ESTATE
EA119,32598,VINCENNES ESTATE
EA120,63582,WALTHAM ESTATE
EA121,46032,WEIR ESTATE
EA122,37163,WELLINGTON MILLS ESTATE
EA123,62460,WESTBURY ESTATE
EA124,19528,WHITGIFT ESTATE
EA125,28129,WILLARD ESTATE
EA126,40859,WILLIAM BONNEY ESTATE
EA127,9064,WILTSHIRE ROAD ESTATE
EA128,9316,WINDMILL HOUSE ESTATE
EA129,52674,WOODVALE ESTATE
EA130,70849,WYVIL ESTATE
EA131,44238,YORK HILL ESTATE
EB002,4925,ALEXANDRA WALK ESTATE
EB003,4932,ARGYLL COURT ESTATE
EB004,6274,ASCOT COURT ESTATE
EB005,1716,AUCKLAND COURT ESTATE
EB006,7740,BALMORAL COURT ESTATE
EB007,3218,BARRY COURT FLATS
EB008,4933,BELENOYD COURT ESTATE
EB009,1772,BENTLEY COURT FLATS
EB011,5824,BOBBIN CLOSE FLATS
EB012,2071,BOURNEVALE ROAD ESTATE
EB013,11619,BOWATER CLOSE ESTATE
EB014,4235,BROADGATES COURT ESTATE
EB015,1601,BROADHINTON COURT FLATS
EB016,1550,BROCKWELL COURT FLATS
EB017,12733,CALIDORE CLOSE ESTATE
EB018,1051,CANDIDE LODGE ESTATE
EB019,2151,CARLTON MANSIONS ESTATE
EB020,657,CARLTON MANSIONS FLATS
EB021,5230,CAUTLEY AVENUE FLATS
EB022,6539,CHAPLIN CLOSE ESTATE
EB023,16282,CHARLES BARRY ESTATE
EB024,3102,CHARLES MILLS COURT ESTAT
EB025,4871,CHARLOTTE ROW FLATS
EB026,3624,CHELSHAM HOUSE ESTATE
EB027,4202,CHERRY LAUREL WALK ESTATE
EB028,9211,CHERRY TREE SHELTERED
EB029,2384,CHRISTCHURCH ROAD ESTATE
EB030,3909,CLARKE HOUSE FLATS
EB031,5586,CLAYLANDS COURT ESTATE
EB033,4616,CLIMSLAND HOUSE ESTATE
EB034,2670,CLYTHA COURT ESTATE
EB035,1682,CONISTON COURT ESTATE
EB036,3610,CONWAY HOUSE ESTATE
EB037,7075,COVENTRY HALL SHELTERED
EB038,1225,CRANMER ROAD ESTATE
EB039,3972,CREWDSON ROAD ESTATE
EB040,1768,CRIMSWORTH ESTATE
EB041,2243,DOUGLAS ROBINSON COURT ES
EB042,278,EFFRA COURT FLATS
EB043,4720,ELLIOT ROAD ESTATE
EB044,2205,EMILY MANSIONS ESTATE
EB045,9442,FITCH COURT SHELTERED
EB046,3528,FITZALAN STREET ESTATE
EB048,1870,FOSTER COURT FLATS
EB049,6658,FRAZIER STREET ESTATE
EB050,8647,GARRADS ROAD SHELTERED
EB051,1644,GIPSY ROAD FLATS
EB052,3672,GLENELDON ROAD ESTATE
EB053,4688,GORDON GROVE FLATS
EB054,3864,GRASMERE ROAD ESTATE
EB055,12734,GREENHAM CLOSE ESTATE
EB056,2695,GUERNSEY GROVE ESTATE
EB057,1720,HAMILTON ROAD FLATS
EB058,5692,HARDWICK ESTATE
EB059,6465,HARLEYFORD COURT ESTATE
EB061,5388,HERNE HILL FLATS
EB062,1212,HERNE HILL ROAD FLATS
EB063,7190,HOLLAND GROVE SHELTERED
EB064,1553,HOPTON COURT ESTATE
EB065,288,IVY VILLAS ESTATE
EB066,6534,JOE HUNTE COURT ESTATE
EB067,3150,JOSEPH POWELL ESTATE
EB068,2451,KINGS AVENUE FLATS
EB069,3699,KINGSCROFT ESTATE
EB070,8968,KNIGHTS WALK ESTATE
EB071,9212,LAMBETH WALK ESTATE
EB072,1541,LAMBOURN COURT FLATS
EB073,1272,LANSCOMBE ESTATE
EB074,6164,LESSAR COURT FLATS
EB075,2478,LILFORD ROAD FLATS
EB076,2964,LIMETREE CLOSE ESTATE
EB077,6448,MACKIE ESTATE
EB078,5656,MAGNOLIA PLACE FLATS
EB079,1016,MARANDA COURT ESTATE
EB080,6670,MATLOCK CLOSE FLATS
EB081,4034,MAYTREE WALK ESTATE
EB082,7656,MOUNT PLEASANT ESTATE
EB083,12758,NORTHWOOD HOUSE ESTATE
EB084,2264,NORWOOD ROAD ESTATE
EB085,2954,NORWOOD ROAD SHELTERED
EB087,7280,OBORNE CLOSE FLATS
EB088,1415,ORLANDO COURT FLATS
EB089,4787,PARK COURT FLATS
EB090,301,PHYLLIS VILLAS ESTATE
EB091,6490,QUEENSWOOD COURT ESTATE
EB093,2270,RITA ROAD ESTATE
EB094,3040,ROLLSCOURT AVENUE FLATS
EB095,3054,ROMMANY COURT ESTATE
EB096,2530,ROMMANY ROAD FLATS
EB097,5610,ROUPELL ROAD ESTATE
EB098,9984,RUSSELL COURT ESTATE
EB099,3746,SALTOUN ROAD FLATS
EB100,9040,SANDERS HOUSE ESTATE
EB102,4752,SOMERVILLE COURT ESTATE
EB103,4384,SOUTH ISLAND PLACE ESTATE
EB104,1780,SOUTHSIDE COURT FLATS
EB105,584,SOUTHVIEW COURT FLATS
EB106,4820,SOUTHWELL ROAD FLATS
EB107,10568,ST ANSELMS COURT ESTATE
EB108,9912,ST GOTHARD ROAD ESTATE
EB109,6345,STANTHORPE CLOSE ESTATE
EB110,5040,TEIGNMOUTH CLOSE FLATS
EB111,9588,THE GLEBE SHELTERED
EB112,4812,THORNE RD ESTATE
EB113,2570,TRADESCANT ESTATE
EB114,7248,UNION ROAD ESTATE
EB115,4592,VIRGINIA WALK ESTATE
EB116,6400,WALNUT TREE WALK ESTATE
EB117,5880,WILLIAM BROWN COURT ESTAT
EB118,13406,WINDSOR CLOSE ESTATE
EB119,7105,WISEMAN COURT ESTATE
EB120,1212,WOODLAND CLOSE FLATS
EB121,1696,ZAIRE COURT ESTATE
